English/Pinyin,Original Language,Notes,GND,Chinese,Tibetan 1,Tibetan 2,Tibetan 3,Tibetan 4,Tibetan 5,Tibetan 6,Tibetan 7,Tibetan 8,Tibetan 9,Tibetan 10,Tibetan 11,Tibetan 12
Yang Yong,楊勇,,,楊勇,ཡའང་ཡུང་,,,,,,,,,,,
Yao Zenghui,姚增輝,,,姚增輝,ཡའུ་རྩིན་ཧུས་,,,,,,,,,,,
Ye Qing,葉青,,,葉青,ཡེ་ཆེན་,,,,,,,,,,,
Yefremov,Дмитрий В. Ефремов,,,葉夫列莫夫,མའེ་ཕུའུ་ལའེ་མའོ་ཕུ་,,,,,,,,,,,
Yijing,義淨,should be ཙིང་,,義淨,ཨི་ཙང་,,,,,,,,,,,
Yu San,羽三,,,羽三,དབྱུས་ཧྲན་,,,,,,,,,,,
Yuan Ziqing,袁子清,,,袁子清,ཡོན་ཙི་ཆིན་,,,,,,,,,,,
Yudin,Павел Юдин,,,尤金,ཡུས་ཅིན་,,,,,,,,,,,
Zakaria Mohieddin,زكريا محيي الدين,,,查卡里亞·毛希丁,ཛ་ཀ་ར་ཡི་མོ་ཧི་ཌིན་,,,,,,,,,,,
Zakir Hussain,زاکِر حسین‎‎,,,扎基爾·侯賽因,ཛ་ཀིར་ཧུ་སན་,,,,,,,,,,,
Zhan Huayu,詹化雨,,,詹化雨,ཀྲོན་ཧག་ཡུས་,,,,,,,,,,,
Zhang Chengwu,張承武,,,張承武,གྲང་ཐྲིན་ཨུ་,,,,,,,,,,,
Zhang Chong,張沖,,,張沖,ཀྲང་ཚུང་,,,,,,,,,,,
Zhang Guohua,張國華,,,張國華,ཀྲང་གོ་ཧྭ་,,,,,,,,,,,
Zhang Guosheng,張國聲,,,張國聲,ཀྲང་གོ་ཧྲིན་,,,,,,,,,,,
Zhang Hanfu,章漢夫,,,章漢夫,ཀྲང་ཧའན་ཕུ་,,,,,,,,,,,
Zhang Jingwu,張經武,,,張經武,ཀྲང་ཅིན་ཨུ་,ཀྲང་ཅིང་ཨུ་,ཀྲང་ཅིན་བུ་,,,,,,,,,
Zhang Junmai,張君勱,,,張君勱,ཀྲང་ཅུན་མའེ་,,,,,,,,,,,
Zhang Lan,張瀾,,,張瀾,ཀྲང་ལན་,,,,,,,,,,,
Zhang Mingyuan,張明遠,,,張明遠,ཀྲང་མེན་ཡོན་,,,,,,,,,,,
Zhang Nansheng,張南生,,,張南生,ཀྲང་ལའན་སན་,,,,,,,,,,,
Zhang Pinghua,張平化,,,張平化,ཀྲང་ཕིན་ཕའན་,,,,,,,,,,,
Zhang Qiuxiang,張秋香,,,張秋香,ཀྲའང་ཆིའུ་ཤའང་,,,,,,,,,,,
Zhang Wentian,張聞天,,,張聞天,ཀྲུང་འུན་ཐོན་,ཀྲང་ཝུན་ཐན་,ཀྲང་ཝུན་ཐེན་,,,,,,,,,
Zhang Xingzhong,張行忠,,,張行忠,གྲང་ཤེན་ཀྲོང་,,,,,,,,,,,
Zhang Xiushan,張秀山,,,張秀山,ཀྲང་ཞིག་ཟན་,,,,,,,,,,,
Zhang Yuanzheng,張元正,,,張元正,ཀྲང་ཡན་དྲིན་,,,,,,,,,,,
Zhang Zhengping,張正平,,,張正平,ཀྲང་ཀྲིན་ཕུན་,,,,,,,,,,,
Zhang Zhiyi,張執一,,,張執一,ཀྲང་དྲི་ཡིད་,,,,,,,,,,,
Zhang Zhongliang,張仲良,,,張仲良,ཀྲང་གྲུན་ལཱང་,ཀྲང་གྲུན་ལང་,,,,,,,,,,
Zhang Zhongshi,張仲實,,,張仲實,ཀྲང་ཀྲུང་ཧྲི་,,,,,,,,,,,
Zhang Zongde,張宗德,,,張宗德,ཀྲང་ཀྲུང་དེས་,,,,,,,,,,,
Zhang Zongxiang,章宗祥,,,章宗祥,ཀྲང་ཀྲུང་བྱམ་,,,,,,,,,,,
Zhang Zongxun,張宗遜,,,張宗遜,ཅང་གཙོང་ཤོན་,,,,,,,,,,,
Zhao Dezun,趙德尊,,,趙德尊,ཀྲོ་ཏེ་ཙུན་,,,,,,,,,,,
Zhao Min,趙敏,,,趙敏,གྲའོ་རྨིན་,,,,,,,,,,,
Zhao Shoushan,趙壽山,,,趙壽山,གྲོ་ཧྲིག་ཟན་,,,,,,,,,,,
Zhao Wei,趙煒,,,趙煒,ཀྲོ་བིས་,,,,,,,,,,,
Zhong Shengyi,鍾生益,,,鍾生益,གྲུན་ཧྲིན་ཡུ་,,,,,,,,,,,
Zhou Chunlu,周春祿,,,周春祿,ཀྲུའུ་ཁྲིན་ལུའུ་,,,,,,,,,,,
Zhou Enlai,周恩來,,,周恩來,ཀྲུའུ་ཨེན་ལེས་,ཅའོ་ཨེན་ལའི་,ཅའུ་ཨེན་ལའི་,ཀྲིག་ནིན་ལེ་,ཀྲེའུ་ཨེན་ལེ་,ཀྲུའུ་ཨེན་ལེ་,ཀྲིའུ་གིན་ལེའི་,ཀྲིའུ་གིན་ལའི་,ཅའོ་ཨན་ལེ་,ཀྲེའུ་ཨེན་ལན་,ཀྲེའོ་ཨེན་ལེ་,ཀྲའུ་ཨན་ལན་
Zhou Guanglie,周光烈,,,周光烈,ཀྲུའུ་ཀམ་ལེན་,,,,,,,,,,,
Zhou Renshan,周仁山,,,周仁山,ཀྲེའོ་རེན་ཧྲའན་,ཀྲེའོ་རེན་ཧྲན་,ཀྲིག་རིན་ཧྲན་,,,,,,,,,
