English/Pinyin,Original Language,Notes,GND,Chinese,Tibetan 1,Tibetan 2,Tibetan 3,Tibetan 4,Tibetan 5,Tibetan 6,Tibetan 7,Tibetan 8,Tibetan 9,Tibetan 10,Tibetan 11,Tibetan 12
Huang Zhengqing,བློ་བཟང་ཚེ་དབང་,,,黃正清,ཧོའང་གྲན་ཆིན་,ཧོང་ཧྲིན་ཆིན་,ཧཱོའང་དྲན་ཆིན,,,,,,,,,
Hui Zhen,慧珍,,,慧珍,ཞུའི་ཀྲིན་,,,,,,,,,,,
Hurley,Patrick Jay Hurley,,,赫爾利,ཧེར་ལི་,,,,,,,,,,,
I Il-kjŏng,이일경,,,李一卿,རླིས་ཡི་ཆིའན་,,,,,,,,,,,
Indira Gandhi,इन्दिरा गान्धी,,,英迪拉·甘地,དབྱིན་ཏི་ལ་གན་ཏི་,ཨིན་རྡ་ར་གྷན་རྡི་,ཨིན་དྷ་ར་གྷན་རྡི་,ཨིན་དྷར་གྷན་དྷི་,ཨིན་དྷ་ར་གྷན་དྷི་,,,,,,,
Ismail Yasinof,ئىسمائىل ياسىنوف‎,,,司馬義·雅思諾夫,སི་མའ་ཡིའི་ཡའ་སི་ནོའོ་ཕུའུ་,,,,,,,,,,,
Ji Chunguang,冀春光,,,冀春光,ཅི་ཁྲུན་ཀོང་,,,,,,,,,,,
Jia Wannian,賈萬年,,,賈萬年,གྱ་ཝན་ཉན་,,,,,,,,,,,
Jing Shengming,景生明,,,景生明,ཅིན་ཧྲིན་མེན་,,,,,,,,,,,
Johnson,Lyndon Baines Johnson,,,約翰遜,འཇོན་སོན་,,,,,,,,,,,
Jong Il-ryong,정일룡,,,鄭一龍,ཀྲེང་ཡིའི་ལུང་,,,,,,,,,,,
Joseph Okito,Joseph Okito,,,奧基托,འཇོའོ་སེབ་ཨོ་ཀེ་ཊོ་,,,,,,,,,,,
Kaliṅga,,,,迦陵伽王,ཀ་ལིངྒ་,,,,,,,,,,,
Kang Keming,康克明,,,康克明,ཁང་ཁེ་མིན་,,,,,,,,,,,
Kang Naier,康乃爾,,,康乃爾,ཁམས་རླད་ཨར་,,,,,,,,,,,
Kang Sheng,康生,,,康生,ཁམས་སྲིན་,ཁམས་སྲིང་,ཁང་ཧྲིན་,ཁང་ཟིན་,,,,,,,,
Kang Wanqing,康萬慶,,,康萬慶,ཁང་བན་ཆེན་,,,,,,,,,,,
Kāśyapa,काश्यप,,,迦葉,འོད་སྲུང་,,,,,,,,,,,
Kemal,Mustafa Kemal Atatürk,,,凱末爾,ཀེ་མར་,,,,,,,,,,,
Kennedy,John F. Kennedy,,,肯尼迪,ཀད་ནི་ཌི་,ཁིན་ཉི་ཏི་,,,,,,,,,,
Kenyatta,Jomo Kenyatta,,,肯雅塔,ཀེན་ཡ་ཏ་,,,,,,,,,,,
Khrushchev,Никита Хрущёв,,,赫魯曉夫,ཧེ་ལའུ་ཤའོ་ཧྥུས་,ཧེ་ལུའུ་ཤའོ་ཧྥུ་,ཧེ་ལུའུ་ཤའོ་ཧྥུས་,ཧེ་ལོའུ་ཞོ་ཧྥུའུ་,ཤེ་ལུའུ་སྐྱོ་ཧྥུ་,ཁུ་ཤེ་ཅོབ་,ཁུ་ཤི་ཅོབ་,ཀེ་རུ་དྲི་,ཧེ་ལུ་ཤའོ་ཕུ་,ཧེ་རུ་ཤའོ་ཕུ་,,
Kim Il-sung,김일성,,,金日成,ཅིན་རི་ཁྲེང་,ཅིན་རི་དྲིན་,ཅིན་རི་ཁྲིན་,,,,,,,,,
Kirichenko,Алексей Кириченко,,,基里琴科,ཅིས་ལིས་ཆིང་ཁོའོ་,,,,,,,,,,,
Kishi Nobusuke,岸 信介,,,岸信介,ནན་ཞིན་ཀེ་,,,,,,,,,,,
Krishna Menon,കൃഷ്ണമേനോൻ,,,克里什那·梅農,ཀི་རི་ཤི་ན་མི་ནོན་,,,,,,,,,,,
Kui Bi,奎璧,,,奎璧,ཁུའེ་བེ་,,,,,,,,,,,
Lal Bahadur Shastri,लालबहादुर शास्त्री,,,夏斯特里,ལལ་བྷ་ཌུར་ཤ་ས་ཏི་རི་,ལལ་བྷ་དུར་ཤ་སེ་ཏི་རི་,ཤུ་སེ་ཏི་རི་,ལཱལ་བྷ་དུར་ཤ་སེ་ཏི་རི་,ཤ་སེ་ཏི་རི་,ལལ་བྷ་དུར་ཤ་སི་ཏི་རི་,,,,,,
Lalita Devi Shastri ,ललिता देवी शास्त्री,Lal Bahadur Shastri's wife,,拉利塔·夏斯特里,ལ་ལི་ཏ་དྷེ་འབི་ཤ་སེ་ཏི་རི་,,,,,,,,,,,
Le Thanh Nghi,Lê Thanh Nghị,,,黎清毅,ལིས་ཆིང་ཡིང་,,,,,,,,,,,
Lee Kuan Yew,李光耀,,,李光耀,ལི་ཁུ་ཡུ་,,,,,,,,,,,
Lee Kwon-mu,리권무,,,李權武,རླིས་ཆོའན་ཨུ་,,,,,,,,,,,
Lei Lin,雷林,,,雷林,ལུས་ལིན་,,,,,,,,,,,
Lenin,Владимир Ленин,,,列寧,ལེ་ཉིན་,ལེ་ལེན་,ལེ་ལིང་,ལི་ནན་,ལེ་ནིང་,,,,,,,
Li Chunfang,李春芳,,,李春芳,རླིས་ཁྲུན་ཧྥང་,,,,,,,,,,,
Li Dazhang,李大章,,,李大章,རླིས་ཏ་ཀྲང་,,,,,,,,,,,
Li Fuchun,李富春,,,李富春,རླིས་ཧྥུ་ཁྲུན་,རླིས་ཧྥུ་ཁྲོན་,རླིས་ཕུའུ་ཁྲུའན་,,,,,,,,,
Li Hongfan,李洪範,,,李洪範,རླིང་ཧྥུང་ཧྥུན་,,,,,,,,,,,
Li Jianxin,李建新,,,李建新,ལིས་གྱན་ཞིན་,,,,,,,,,,,
Li Shu,李恕,,,李恕,རླིས་སུའུ་,,,,,,,,,,,
Li Shumao,李書茂,,,李書茂,ལིས་ཧྲུ་མོ་,,,,,,,,,,,
Li Weihan,李維漢,,,李維漢,ལིས་བུས་ཧན་,,,,,,,,,,,
Li Yongchang,李永昌,,,李永昌,རླི་ཡུན་ཁྲང་,,,,,,,,,,,
Li Zelin,李澤林,,,李澤林,རླིས་ཙེ་ལིང་,,,,,,,,,,,
Liang Xuanxian,梁選賢,,,梁選賢,ལང་ཤོན་ཤན་,,,,,,,,,,,
Liao Aiting,廖靄亭,,,廖靄亭,ལོ་ནེ་ཐིན་,,,,,,,,,,,
Liao Zhigao,廖志高,,,廖志高,ལའོ་དྲི་ཀའོ་,,,,,,,,,,,
Lin Biao,林彪,,,林彪,ལིང་པེའུ་,ལིང་པའི་,ལིན་པེའོ་,,,,,,,,,
Lin Boqu,林伯渠,,,林伯渠,ལིང་པེ་ཆུས་,ལེན་པེ་ཁྱུ་,ལིན་པའོ་ཆུས་,ལིན་པེ་ཆུའུ་,,,,,,,,
Lin Chu,林初,,,林初,ལིན་ཁྲུའུ་,,,,,,,,,,,
Lin Feng,林楓,,,林楓,གླིང་ཕུང་,,,,,,,,,,,
Lin Haiyun,林海雲,,,林海雲,ལིན་ཧེའི་ཡུང་,ལིན་ཧི་ཡུང་,,,,,,,,,,
Lin Xiangqian,林祥謙,,,林祥謙,ལིན་ཞིང་ཆེན་,,,,,,,,,,,
Liu Chengde,劉呈德,,,劉呈德,ལིག་ཁྲིན་ཏེ་,,,,,,,,,,,
Liu Chun,劉春,,,劉春,ལིག་ཁྲུན་,,,,,,,,,,,
Liu Geping,劉格平,,,劉格平,ལིའུ་ཀའོ་ཕིང་,ལིའོ་ཀའོ་ཕིང་,ལིག་གེ་ཕུན་,,,,,,,,,
Liu Guangshi,劉光實,,,劉光實,ལིག་ཀོང་ཧྲི་,,,,,,,,,,,
Liu Jie,劉傑,,,劉傑,ལིག་ཅེ་,,,,,,,,,,,
Liu Liang,劉朝晉,,,劉良,ལིའུ་ལི་,,,,,,,,,,,
Liu Libin,劉力彬,,,劉力彬,ལིག་ལིས་པིན་,,,,,,,,,,,
Liu Qingmin,劉慶民,,,劉慶民,ལིག་ཆིན་མེན་,,,,,,,,,,,
Liu Shaoqi,劉少奇,,,劉少奇,ལེའུ་ཧྲོའོ་ཆི་,ལེའུ་ཧྲའོ་ཆིས་,ལོའུ་ཤོའུ་ཚེ་,ལེའུ་ཡའུ་ཚེ་,ལིའོ་ཧྲོའ་ཆི་,ལིའུ་ཧྲའོ་ཆི་,ལིག་ཧྲོ་ཆི་,,,,,
Liu Wenrui,劉文瑞,,,劉文瑞,ལེའུ་འུན་ཧྲུའུ་,ལེའུ་ཝུན་ཟུའི་,,,,,,,,,,
Liu Xingwen,劉興文,,,劉興文,ལཱིག་ཞིན་ཝུན་,,,,,,,,,,,
Liu Xingyuan,劉興元,,,劉興元,ལེའོ་ཤིའན་ཡོན་,,,,,,,,,,,
Liu Yudi,劉玉堤,,,劉玉堤,ལིའུ་ཡའ་ཐི་,,,,,,,,,,,
Long Jiwu,龍輯五,,,龍輯五,ལུའང་ཆིའི་ཨུའུ་,,,,,,,,,,,
Lu Ge,魯閣,,,魯閣,ཀླུ་སྨན་མཚོ་,,,,,,,,,,,
Lu Xun,魯迅,,,魯迅,ལུ་ཞུན་,ལུ་ཤུན་,,,,,,,,,,
Lu Zhengguo,盧正國,,,盧正國,ལེའུ་དྲིན་གོ་,,,,,,,,,,,
Lu Zongyu,陸宗輿,,,陸宗輿,ལེའུ་ཀྲུང་ཡུས་,,,,,,,,,,,
Lumumba,Patrice Émery Lumumba,,,盧蒙巴,ལུ་མུམ་བྷ་,,,,,,,,,,,
Luo Chengwei,羅成偉,,,羅成偉,ལོ་ཕྲིན་ཝེས་,,,,,,,,,,,
Luo Zhong,駱忠,,,駱忠,ལོ་གྲུན་,,,,,,,,,,,
Ma Bufang,馬步芳,,,馬步芳,རྨ་ཕུ་ཧྥཱང་,མཱ་པུ་ཧྥང་,,,,,,,,,,
Ma Fangfu,馬芳富,,,馬芳富,མཱ་ཧྥང་ཧྥུ་,,,,,,,,,,,
Ma Feng,馬烽,,,馬烽,མ་ཧྥུང་,,,,,,,,,,,
Ma Fuchen,馬輔臣,,,馬輔臣,མཱ་ཧྥུ་ཁྲིན་,མཱ་ཧྥུ་ཕྲིན་,,,,,,,,,,
Ma Hong,馬洪,,,馬洪,མ་ཧུན་,,,,,,,,,,,
Ma Hongkui,馬鴻逵,,,馬鴻逵,མའ་ཧུང་ཁུའེ་,,,,,,,,,,,
Ma Kefang,馬克芳,,,馬克芳,རྨ་ཁེ་ཧང་,,,,,,,,,,,
Ma Liang,馬良,,,馬良,མཱ་ལང་,,,,,,,,,,,
Ma Luwen,馬祿文,,,馬祿文,མ་ལོའུ་ཝུན་,,,,,,,,,,,
Ma Wending,馬文鼎,,,馬文鼎,མཱ་བིན་ཏིན་,,,,,,,,,,,
Ma Xingtai,馬興泰,,,馬興泰,མཱ་ཞིན་ཐེ་,,,,,,,,,,,
Ma Xiuzhen,馬秀貞,,,馬秀貞,རྨ་བྱུང་ཀྲིན་,,,,,,,,,,,
Ma Yuqing,馬玉慶,,,馬玉慶,མཱ་ཡུས་ཆིན་,,,,,,,,,,,
Ma Zhanbiao,馬占彪,,,馬占彪,མཱ་དྲན་པཱོ་,,,,,,,,,,,
Ma Zhenwu,馬震武,,,馬震武,མའ་ཀྲན་ཨུ་,,,,,,,,,,,
MacArthur,Douglas MacArthur,,,麥克阿瑟,མེ་ཁེ་ཨ་སེ་,,,,,,,,,,,
Mahatma Gandhi,મોહનદાસ કરમચંદ ગાંધી,,,甘地,མཧཱཏ་མ་གན་དྷི་,གན་དྷི་མཱ་ཧཱ་རཱ་རྫཱ་,,,,,,,,,,
Mahinda,,,,摩哂陀,དབང་ཆེན་སྡེ་,མཧིནྡ་,,,,,,,,,,
Mai Chengzhang,買成章,,,買成章,མེ་ཁྲིན་ཀྲང་,,,,,,,,,,,
Majdalani,نسيم مجدلاني,,,馬吉達蘭尼,མའ་ཅིའ་ཏའ་ལའ་ནི་,,,,,,,,,,,
Malayamahādeva,,,,摩拉耶大天,མལླི་ཡ་དེ་བ་,,,,,,,,,,,
Malenkov,Георгий Маленков,,,馬林科夫,མ་ལིན་ཁོ་ཧྥུའུ་,མ་ལེན་ཁོ་ཧོ་,མ་ལེ་ཁོ་ཧོ་,རྨ་ལིང་ཁོ་ཧྥུ་,,,,,,,,
Mao Xianru,毛顯如,,,毛顯如,མའོ་སྤྱོན་རུས་,,,,,,,,,,,
Mao Zedong,毛澤東,,,毛澤東,མའོ་ཙེ་ཏུང་,མོའོ་ཙེ་ཏུང་,མའོ་ཙེ་ཏུན་,མའུ་རྩེ་ཏུང་,མའོ་ཚེ་ཐུང་,མའོ་རྩེ་ཐུང་,མའོ་རྩེ་ཏུན་,,,,,
Marco Pallis,Marco Alexander Pallis,,,帕里斯,མར་ཀུ་པ་ལིསི་,,,,,,,,,,,
Marx,Karl Marx,,,馬克思,མར་ཥ་སི་,རྨ་ཁེ་སི་,མར་ཁེ་སི་,མ་ཁེ་སི་,མ་ཁ་སི་,མའ་ཁའོ་སི་,མ་ཁེ་ཟི་,,,,,
Matern,Hermann Matern,,,馬特恩,མ་ཐེའུ་ཨེན་,,,,,,,,,,,
Matrosov,Александр М. Матросов,,,馬特洛索夫,མཱ་ཐེ་ལོ་ཟོ་ཧྥུ་,,,,,,,,,,,
Maurice Mpolo,Maurice Mpolo,,,姆波洛,མའུ་རས་སེ་སྤོའོ་ལོ་,,,,,,,,,,,
Meng Quanlu,孟全祿,,,孟全祿,མིན་ཆོན་ལོའུ་,,,,,,,,,,,
Miao Fengshu,苗逢澍,,,苗逢澍,མེའུ་ཧྥང་ཧྲུག་,,,,,,,,,,,
Mohammad Ali,محمد علی بوگڑا,,,阿里·博格拉,མོ་ཧམ་མ་རྡ་ཨ་ལི་,མོ་ཧྲམ་མ་དྷ་ཨ་ལིན་,,,,,,,,,,
Molotov,Вячеслав Молотов,,,莫洛托夫,མོ་ལོ་ཐོ་ཧྥུའུ་,མོ་ལོ་ཐོ་ཧྥུ་,,,,,,,,,,
Mu Shengzhong,慕生忠,,,慕生忠,མུའུ་ཧྲིན་ཀྲུན་,,,,,,,,,,,
Muhammad Musa ,محمد موسی خان,,,穆罕默德·穆薩汗,མ་ཧ་མ་ཐ་མུ་ས་,,,,,,,,,,,
Mumtaz,ممتاز محل‎‎,,,慕塔芝,མུཾ་ཏུ་ཇི་,,,,,,,,,,,
Münnich,Ferenc Münnich,,,明尼赫,མིང་ནེ་ཧེ་,,,,,,,,,,,
Munro,Leslie Knox Munro,,,孟羅,མོང་ལོ་,,,,,,,,,,,
Nāgārjuna,नागार्जुन,,,龍樹,ཀླུ་སྒྲུབ་,,,,,,,,,,,
Nanak Deva,ਨਾਨਕ ਦੇਵ,,,那納克,ན་ན་ཀ་དེ་བོ་,,,,,,,,,,,
Nasser,جمال عبد الناصر حسين‎,,,納賽爾,ནེ་སར་,,,,,,,,,,,
Nehru,जवाहरलाल नेहरू,,,尼赫魯,ཉིས་ཧེ་ལུའུ་,ནེཧ་རུ་,ཉི་ཧུས་ལོའུ་,ནེ་རུ་,ནེ་ཧ་རུ་,ནེ་ཧེ་རུ་,ནེ་ཧཱ་རུ་,ཉིས་ཤེ་ལུ་,ནེཏ་རུ་,འཇའ་ཝ་ཧཱར་ལཱ་ལ་ནེ་ཧ་རུ་,,
Netaji,সুভাষ চন্দ্র বসু,"Bengali: ""Respected Leader"". Subhas Chandra Bose",,蘇巴斯·錢德拉·鮑斯,ནེ་ཏཱ་འཇི་,,,,,,,,,,,
Nie Rongzhen,聶榮臻,,,聶榮臻,ནིའེ་རུང་ཀྲན་,,,,,,,,,,,
Nixon,Richard Milhous Nixon,,,尼克松,ནིའི་ཁེ་སུང་,ནི་ཁེ་སུང་,,,,,,,,,,
Nkrumah,Francis Kwame Nkrumah,,,恩克魯瑪,ཨན་ཁུ་མ་,ཨིན་ཁུ་མ་,,,,,,,,,,
Pan Yong,攀鏞,,,攀鏞,ཕོན་ཡུང་,,,,,,,,,,,
Parākramabāhu,,,,波羅迦羅摩巴乎王,པར་ཀྲམ་བཱ་ཧུ་,ཟིལ་གནོད་དཔུང་པ་,,,,,,,,,,
Partridge,Earle E. Partridge,,,帕特里奇,ཕེ་ཐེ་རླིས་ཆིས་,,,,,,,,,,,
Paul Gore-Booth,Paul Henry Gore-Booth,,,戈爾-布思,པའུ་ལུ་གོ་རེ་བུ་རོ་ཐ་,,,,,,,,,,,
Peng Dehuai,彭德懷,,,彭德懷,ཕུན་དེ་ཧོས་,ཕུན་ཏེ་ཧོས་,ཕུན་ཏེ་ཧེ་,,,,,,,,,
Peng Sike,ᠫᠣᠩᠰᠣᠭ,,,朋斯克,ཕུན་ཟི་ཁེ་,,,,,,,,,,,
Peng Zhen,彭真,,,彭真,ཕིན་ཀྲིན་,ཕུན་ཀྲིན་,ཕུན་ཏྲིན་,,,,,,,,,
Peter,Πρίγκιπας Πέτρος,,,彼得王子,པི་ཊར་,,,,,,,,,,,
Phussa,,,,弗沙王,སྐར་རྒྱལ་,,,,,,,,,,,
Prasad,राजेन्द्र प्रसाद,,,普拉薩德,ར་ཅན་རྡ་སྤ་ར་ས་ཏ་,རཱ་ཛེན་དྲ་པྲ་སཱད་,,,,,,,,,,
Pu Hanwen,蒲涵文,,,蒲涵文,ངག་དབང་བརྩོན་འགྲུས་,,,,,,,,,,,
Puyi,ᡦᡠ ᡳ,,,溥儀,ཏུ་ཡི་,,,,,,,,,,,
Puzanov,Александр Пузанов,,,普扎諾夫,ཕུ་ཀྲ་ལོ་ཧྥུ་,,,,,,,,,,,
Qadir,منظور قادر,,,卡迪爾,ཁའ་ཐེར་,,,,,,,,,,,
Qian Junrui,錢俊瑞,,,錢俊瑞,ཁྱོན་ཅུང་ཧྲུའི་,,,,,,,,,,,
Qin Jiwei,秦基偉,,,秦基偉,ཆིན་ཅིའི་ཡུས་,,,,,,,,,,,
Qiu Baoyan,仇保燕,,,仇保燕,ཁྲུག་པོ་ཡན་,,,,,,,,,,,
Qiu Shaoyun,邱少雲,,,邱少雲,ཆིའུ་ཧྲའོ་ཡུང་,,,,,,,,,,,
Radhakrishnan,సర్వేపల్లి రాధాకృష్ణ,,,拉達克里希南,ར་རྟ་ཀི་རི་ཤི་ནན་,ར་དྷ་ཀིར་ཤི་ན་,རཱ་དཱ་ཀྲིཥྞ་,,,,,,,,,
Ram Das,ਗੁਰੂ ਰਾਮ ਦਾਸ,,,拉姆·達斯,རཱ་མ་ད་ས་,,,,,,,,,,,
Rao Shushi,饒漱石,,,饒漱石,རབ་ཧྲུག་ཧྲི་,རོ་སིག་ཧྲི་,,,,,,,,,,
Rhee Syngman,이승만,,https://explore.gnd.network/en/gnd/118788566,李承晚,རླིས་ཁྲིན་དབན་,རླིས་ཕྲིན་ཝན་,,,,,,,,,,
Sa Kongliao,薩空了,,,薩空了,ས་ཁང་རླེའུ་,,,,,,,,,,,
Salam,صائب سلام,,,薩拉姆,ཟའ་ལམ་,སའ་ལ་མུ་,སའ་ལའ་མུ་,,,,,,,,,
Saṃghamittā,,,,僧伽蜜多,རྩ་ལག་མ་,སངྒྷམིཏྟཱ་,,,,,,,,,,
Sangharakshita,Dennis P. E. Lingwood,,,僧護,སང་གྷ་རཀི་ཏ་,,,,,,,,,,,
Śāntarakṣita,शान्तरक्षित,,,寂護,ཞི་བ་འཚོ་,,,,,,,,,,,
Śāntigupta,,,,寂護,ཞི་བ་སྦས་པ་,,,,,,,,,,,
Saraṇaṅkara,,,,作護,སྐྱབས་མཛད་,,,,,,,,,,,
Sastroamidjojo,Ali Sastroamidjojo,,,沙斯特羅阿米佐約,ཧྲ་སི་ཐེ་ལོ་ཨ་རྨིས་ཚའོ་ཡོ་,ཨ་ལིས་ཟ་ཟི་ཐེ་ལོ་ཨ་མིས་ཙོ་ཡོ་,,,,,,,,,,
Sha Xiaozhou,沙筱舟,,,沙筱舟,ཧྲའ་སྐྱོབ་ཀྲུའུ་,,,,,,,,,,,
Shah Jahan,شاه جهان,,,沙賈漢,ཤ་ཇང་,,,,,,,,,,,
Shang Zhitian,尚志田,,,尚志田,ཧྲང་དྲི་ཐེན་,,,,,,,,,,,
Shen Cen,沈岑,the translator may have misread the character 岑 cén as 岺 lǐng,,沈岑,ཧྲིན་ལིན་,,,,,,,,,,,
Shen Junru,沈鈞儒,,,沈鈞儒,ཤིན་གྱིན་ཞོ་,,,,,,,,,,,
Shi Feng,石峯,,,石峯,ཧྲི་ཧྥུན་,,,,,,,,,,,
Shi Yang,施洋,,,施洋,ཧྲི་དབྱང་,,,,,,,,,,,
Sihanouk,នរោត្ដម សីហនុ,,,西哈努克,ཤིས་ཧའ་ལུའུ་ཁེ་,,,,,,,,,,,
Smith,Joseph Kingsbury-Smith,,,史密斯,ཧྲི་མིང་ཟི་,ཅིན་སི་བི་ལིང་ཧྲི་མིང་ཟི་,,,,,,,,,,
Sobolev,Сергей Львович Соболев,,,索波列夫,སོའོ་པོ་ལེ་ཧྥུ་,,,,,,,,,,,
Soenario,Soenario Sastrowardoyo,,,蘇納約,སུའུ་ལ་ཡོ་,,,,,,,,,,,
Song Richang,宋日昌,,,宋日昌,སུང་དབྲི་ཁྲང་,,,,,,,,,,,
Song Yuancheng,宋遠程,,,宋遠程,ཟང་གཡན་ཁྲན་,,,,,,,,,,,
Song Yun,宋雲,,,宋雲,ཟུང་ཡུན་,,,,,,,,,,,
Soong Ching-ling,宋慶齡,,,宋慶齡,ཟུང་ཆིང་ལིང་,སོང་ཁྱིན་ལེན་,,,,,,,,,,
Stalin,Иосиф Сталин,,,斯大林,སི་སྟ་ལིང་,སི་ཏ་ལིང་,ཟི་ཏ་ལེན་,,,,,,,,,
Su Cheng,蘇成,,,蘇成,སུའི་ཁྲིན་,,,,,,,,,,,
Su Qianyi,蘇謙益,the translator may have misread the character 益 yì as 孟 mèng,,蘇謙益,སུའུ་ཆའན་མུང་,,,,,,,,,,,
Su Xin,蘇新,,,蘇新,ཤོ་ཤེན་,སུ་ཤིན་,,,,,,,,,,
Su Zhida,蘇志達,,,蘇志達,སུའུ་དྲི་ཏ་,,,,,,,,,,,
Sudarikov,Николай Г. Судариков,,,蘇達利柯夫,སུའུ་ཏ་ལིའི་ཁོའི་ཕུ་,,,,,,,,,,,
Sukarno,Koesno Sosrodihardjo,,,蘇加諾,སུའུ་ཅ་ལོ་,སུ་ཀ་ནོ་,,,,,,,,,,
Sun Junyi,孫君一,,,孫君一,ཟུན་ཅུན་ཡུ་,,,,,,,,,,,
Sun Yat-sen,孫中山,,,孫中山,སུན་ཀྲུང་ཧྲན་,སུན་ཡད་སེན་,,,,,,,,,,
Sun Zuoshi,孫作賓,,,孫作賓,སུན་ཙོ་པིན་,,,,,,,,,,,
Suo Guanying,བསོད་རྣམས་ཚེ་རིང་,,,索觀瀛,སོད་རྣམས་ཚེ་རིང་,བསོད་རྣམས་ཚེ་རེང་,,,,,,,,,,
Suslov ,Михаил Суслов,,,蘇斯洛夫,སུ་སི་ལའོ་ཧྥུས་,,,,,,,,,,,
Swaran Singh,ਸਰਦਾਰ ਸਵਰਨ ਸਿੰਘ,,,辛格,ས་རྡར་སོ་ཝ་རན་སེང་,ས་རྡར་ས་ཝ་རན་སིང་,,,,,,,,,,
T. T. Krishnamachari,தி. த. கிருஷ்ணமாச்சாரி,,,克里希納馬查里,ཀྲི་ཀྲིའི་ཀིར་ཤི་ན་མ་ཅ་རི་,,,,,,,,,,,
Tan Guansan,譚冠三,,,譚冠三,ཐོན་གོན་སན་,ཐན་གོན་ཟན་,ཐན་གོན་སན་,ཐའན་ཀུན་སའན་,,,,,,,,
Tan Zhenlin,譚震林,,,譚震林,ཐའན་ཀྲན་ལིན་,,,,,,,,,,,
Tang Huatao,湯化陶,,,湯化陶,ཐང་ཧྭ་ཐའོ་,,,,,,,,,,,
Tang Liang,唐亮,,,唐亮,ཐའང་ལིའང་,,,,,,,,,,,
Tang Wenshan,唐文山,,,唐文山,ཐང་འུན་ཧྲན་,,,,,,,,,,,
Tang Yuanzhong,唐遠仲,,,唐遠仲,ཐམ་གཡོན་གྲུང་,,,,,,,,,,,
Tang Yuxing,唐玉興,,,唐玉興,ཐང་ཡུས་ཤིན་,,,,,,,,,,,
Thakin Than Tun,သခင် သန်းထွန်,,,德欽丹東,ཐའི་ཀིན་ཀྲན་ཀྲུ་,,,,,,,,,,,
Tian Bao,སངས་རྒྱས་ཡེ་ཤེས་,,,天寶,སངས་རྒྱས་ཡི་ཤེས་,སངས་རྒྱས་ཡེ་ཤེས་,,,,,,,,,,
Tian Lixing,田力行,,,田力行,ཐེན་ལིས་ཞིན་,,,,,,,,,,,
Tjokroaminoto,Oemar Said Tjokroaminoto,,,佐克羅阿米諾托,ཙོ་ཁེའ་ལོ་ཨ་མེ་ལོ་ཐོ་,,,,,,,,,,,
Tran Hung Dao,Trần Hưng Đạo,,https://explore.gnd.network/en/gnd/1158732252,陳興道,ཁྲན་ཤིའན་ཏའོ་,,,,,,,,,,,
Trapuṣa,,,,提謂,ག་གོན་,,,,,,,,,,,
Trotsky,Лев Троцкий,,https://explore.gnd.network/en/gnd/118642979,托洛茨基,ཐོ་ལོ་སི་གེ་,,,,,,,,,,,
Tshombe,Moïse Kapenda Tshombe,,https://explore.gnd.network/en/gnd/121177866,沖伯,བརྩོམ་བྷེ་,ཅོམ་བྷེ་,ཙོམ་བྷེ་,,,,,,,,,
Tulsi Giri,तुलसी गिरि,,,吉里,ཏུལ་སི་གྷི་རི་,,,,,,,,,,,
Tunku Abdul Rahman,تونكو عبد الرحمن,,,東姑·阿布都拉曼,ཀྲུན་ཀུ་ཨབ་རྡུལ་ར་མན་,,,,,,,,,,,
U Ba Swe,ဦးဘဆွေ,,,吳巴瑞,ཨུ་པའ་རུའེ་,,,,,,,,,,,
U Thant,ဦးသန့်,,https://explore.gnd.network/en/gnd/118763326,吳丹,ཨུ་ཐན་ཀྲ་,,,,,,,,,,,
