English/Pinyin,Notes,GND,Chinese,Tibetan 1,Tibetan 2,Tibetan 3,Tibetan 4,Tibetan 5,Tibetan 6,Tibetan 7,Tibetan 8,Tibetan 9,Tibetan 10,Tibetan 11,Tibetan 12,Tibetan 13
Sri Lanka,"Simhala, Ceylon",,斯里蘭卡,སིང་ག་ལ་,ཤི་ལང་,ཤེ་ལན་,སེ་ལོང་,ཤིས་ལོན་,སི་རི་ན་གྷ་,སིངྒལའི་གླིང་,སངྒི་ལ་,སེངྒ་ལ་,,,,
Stockholm,,,斯德哥爾摩,སྲི་ཏེ་ཀའོ་ཨར་རྨོ་,,,,,,,,,,,,
Subei,,,蘇北,ཞུ་པེ་,,,,,,,,,,,,
Sudan,,,蘇丹,སུའི་ཏོན་,,,,,,,,,,,,
Sugauli,,,蘇高利,ས་གོ་ལི་,སི་རྒོ་ལི་,,,,,,,,,,,
Suiyuan,,,綏遠,སུའེ་ཡུའན་,སེའུ་ཡོན་,,,,,,,,,,,
Sujitan,,,蘇吉灘,སུའུ་ཅི་ཐང་,སུ་ཅི་ཐང་,སུའུ་ཇི་ཐའན་,,,,,,,,,,
Sulawesi,,,蘇拉威西,སུའུ་ལའ་ཨུའེ་ཤིས་,,,,,,,,,,,,
Sultanganj,,,蘇爾唐甘傑,སུལ་ཏན་གན་ཇི་,སུ་ཏན་གྷན་ཇི་,,,,,,,,,,,
Sumatra,Suvarṇadvīpa,,蘇門答臘,སུམ་ཏར་,གསེར་གླིང་,སུའུ་མན་ཏའ་ལ་,,,,,,,,,,
Sun Moon Lake,,,日月潭,རི་ཡོ་ཐན་,,,,,,,,,,,,
Suomo,,,梭磨,སོ་མོ་,སོ་མང་,,,,,,,,,,,
Suonaihe,,,索乃核,སོ་ནག་,,,,,,,,,,,,
Swat,Uḍegrām,,斯瓦特,སྭཏ་,ས་བ་ཏ་,ཨོ་ཌི་གྲམ་,,,,,,,,,,
Sweden,,,瑞典,ཧྲུའི་ཏོན་,,,,,,,,,,,,
Swiss,,,瑞士,རུའེ་སི་,སུའེ་དན་,,,,,,,,,,,
Syria,,,敘利亞,བྱུས་ལིས་ཡ་,སི་རི་ཡ་,,,,,,,,,,,
Tabo-Kongpo,,,塔工,དྭགས་ཀོང་,,,,,,,,,,,,
Taichung,,,臺中,ཐེ་ཀྲུང་,,,,,,,,,,,,
Taihang Mountains,,,太行山,ཐེ་ཧང་ཧྲན་,,,,,,,,,,,,
Tainan,,,臺南,ཐེ་ནན་,,,,,,,,,,,,
Taipei,,,臺北,ཐེ་པེ་,,,,,,,,,,,,
Taiwan,,,臺灣,ཐེ་ཝན་,ཐའི་ཝན་,ཐེ་ཝེན་,ཐའི་དབན་,,,,,,,,,
Taiyuan,,,太原,ཐེ་ཡོན་,ཐའི་ཡཱུན་,ཐའེ་ཡོན་,,,,,,,,,,
Tajikistan,,,塔吉克斯坦,ཏུ་ཀི་སི་ཐན་,ཐའ་ཅི་ཁའོ་,,,,,,,,,,,
